Airline_ID,Name,IATA,ICAO
1,Private flight,-,N/A
3,1Time Airline,1T,RNX
10,40-Mile Air,Q5,MLA
13,Ansett Australia,AN,AAA
14,Abacus International,1B,
21,Aigle Azur,ZI,AAF
22,Aloha Airlines,AQ,AAH
24,American Airlines,AA,AAL
28,Asiana Airlines,OZ,AAR
29,Askari Aviation,4K,AAS
32,Afriqiyah Airways,8U,AAW
35,Allegiant Air,G4,AAY
42,ABSA - Aerolinhas Brasileiras,M3,TUS
55,Astral Aviation,8V,ACP
68,Air Tindi,8T,
72,Ada Air,ZY,ADE
83,Adria Airways,JP,ADR
90,Air Europa,UX,AEA
93,Aero Benin,EM,AEB
96,Aegean Airlines,A3,AEE
106,Air Europe,PE,AEL
109,Alaska Central Express,KO,AER
110,ACES Colombia,,AES
112,Astraeus,5W,AEU
114,Aerosvit Airlines,VV,AEW
116,Air Italy,I9,AEY
120,Alliance Airlines,QQ,UTY
125,Ariana Afghan Airlines,FG,AFG
130,Aeroflot Russian Airlines,SU,AFL
132,Air Bosna,JA,BON
137,Air France,AF,AFR
139,Air Caledonie International,SB,ACI
146,Air Salone,2O,
149,Air Cargo Carriers,2Q,SNC
153,Air Namibia,SW,NMB
165,Aerolitoral,5D,SLI
174,Air Glaciers,7T,AGV
176,Aviogenex,,AGX
179,Aeroper,PL,PLI
180,Atlas Blue,8A,BMM
197,Azerbaijan Airlines,J2,AHY
198,Avies,U3,AIA
208,Airblue,ED,ABQ
210,Airlift International,,AIR
214,Air Berlin,AB,BER
218,Air India Limited,AI,AIC
220,Air Bourbon,ZB,BUB
221,Air Atlanta Icelandic,CC,ABD
225,Air Tahiti Nui,TN,THT
231,Arkia Israel Airlines,IZ,AIZ
239,Air Jamaica,JM,AJM
240,Air One,AP,ADH
241,Air Sahara,S2,RSH
242,Air Malta,KM,AMC
250,Air Japan,NQ,AJX
252,Air Korea Co. Ltd.,,AKA
263,Air Kiribati,4A,AKL
281,America West Airlines,HP,AWE
282,Air Wisconsin,ZW,AWI
286,Tatarstan Airlines,U9,TAK
287,Allegheny Commuter Airlines,,ALO
295,Air Sunshine,,RSI
299,Air Libert,VD,
306,Air Malawi,QM,AML
312,Air Sicilia,BM,
315,ATA Airlines,,AMT
316,Air Macau,NX,AMU
317,AMC Airlines,,AMV
319,Air Seychelles,HM,SEY
321,AeroMéxico,AM,AMX
324,All Nippon Airways,NH,ANA
327,Air Nostrum,YW,ANE
328,Air Niugini,PX,ANG
329,Air Arabia,G9,ABY
330,Air Canada,AC,ACA
333,Air Baltic,BT,BTI
336,Air Nippon,EL,ANK
338,Airnorth,TL,ANO
341,Air North Charter - Canada,4N,ANT
345,Air New Zealand,NZ,ANZ
371,Alitalia Express,XM,SMX
386,Aero Flight,GV,ARF
397,Arrow Air,JW,APW
410,Aerocondor,2B,ARD
411,Aires,4C,ARE
412,Aerolineas Argentinas,AR,ARG
439,Alaska Airlines,AS,ASA
442,Air Sinai,4D,ASD
452,Atlantic Southeast Airlines,EV,ASQ
462,Astrakhan Airlines,OB,ASZ
465,Air Tanzania,TC,ATC
470,Air Burkina,2J,VBW
476,Airlines Of Tasmania,FO,ATM
477,Air Saint Pierre,PJ,SPM
491,Austrian Airlines,OS,AUA
492,Air Southwest,,WOW
493,Augsburg Airways,IQ,AUB
497,ATUR,,TUR
502,Abu Dhabi Amiri Flight,MO,AUH
503,Aeroflot-Nord,5N,AUL
508,Aurigny Air Services,GR,AUR
510,Austral Lineas Aereas,AU,AUT
515,Avianca - Aerovias Nacionales de Colombia,AV,AVA
524,Air Vanuatu,NF,AVN
543,Air Bangladesh,B9,BGD
547,Air Mediterranee,DR,BIE
551,Air Moorea,,TAH
563,Aeroline GmbH,7E,AWU
565,Air Wales,6G,AWW
567,Air Caraïbes,TX,FWI
569,Air India Express,IX,AXB
575,Air Exel,XT,AXL
576,AirAsia,AK,AXM
595,Atlant-Soyuz Airlines,3G,AYZ
596,Alitalia,AZ,AZA
603,Amaszonas,Z8,AZN
608,Air Zimbabwe,UM,AZW
622,Aserca Airlines,R7,OCA
641,Rossiya-Russian Airlines,FV,SDM
659,American Eagle Airlines,MQ,EGF
665,AD Aviation,,VUE
682,Air Ivoire,VU,VUN
683,Air Botswana,BP,BOT
690,Air Foyle,GS,UPA
692,Air Tahiti,VT,VTA
695,Air VIA,VL,VIM
715,Africa West,FK,WTA
724,ATRAN Cargo Airlines,V8,VAS
751,Air China,CA,CCA
753,Aero Condor Peru,Q6,CDP
787,Air Chathams,CV,CVA
788,Air Marshall Islands,CW,CWM
792,Access Air,ZA,CYD
794,Air Algerie,AH,DAH
800,Adam Air,KI,DHI
807,Air Dolomiti,EN,DLA
816,Aeroflot-Don,D9,DNV
817,Air Madrid,NM,DRD
837,Aer Lingus,EI,EIN
876,Air Finland,OF,FIF
878,Airfix Aviation,,FIX
879,Air Pacific,FJ,FJI
881,Atlantic Airways,RC,FLI
882,Air Florida,QH,FLZ
896,Air Iceland,NY,FXI
897,Air Philippines,2P,GAP
909,Air Guinee Express,2U,GIP
921,Air Greenland,GL,GRL
928,Atlas Air,5Y,GTI
931,Air Guyane,GG,GUY
970,Air Bagan,W9,JAB
983,Air Canada Jazz,QK,JZA
995,Atlasjet,KK,KKK
998,Air Koryo,JS,KOR
1006,Air Astana,KC,KZR
1008,Albanian Airlines,LV,LBC
1017,Air Alfa,,LFA
1034,Aerolane,XL,LNE
1048,Atlantis European Airways,TD,LUR
1052,Air Luxor,LK,LXR
1057,Air Mauritius,MK,MAU
1066,Air Madagascar,MD,MDG
1073,Air Moldova,9U,MLD
1087,Air Plus Comet,A7,MPD
1109,Astair,8D,
1116,Aero Contractors,AJ,NIG
1143,Aeropelican Air Services,OT,PEL
1188,Aer Arann,RE,REA
1191,Air Austral,UU,REU
1200,Asian Spirit,6K,RIT
1202,Air Afrique,RK,RKA
1203,Airlinair,A5,RLA
1206,Aero Lanka,QL,RLN
1213,Air Salone,20,RNE
1216,Armavia,U8,RNV
1224,AeroRep,P5,RPB
1230,Aero-Service,BF,RSR
1231,Aerosur,5L,RSU
1232,Aeronorte,,RTE
1266,Avient Aviation,Z3,SMJ
1287,Aircompany Yakutia,R3,SYL
1290,Aeromar,VW,TAO
1299,Arkefly,OR,TFL
1308,Airlines PNG,CG,TOK
1316,AirTran Airways,FL,TRS
1317,Air Transat,TS,TSC
1322,Avialeasing Aviation Company,EC,TWN
1326,Tyrolean Airways,VO,TYR
1338,Aerolineas Galapagos (Aerogal),2K,GLG
1340,Alrosa Mirny Air Enterprise,6R,DRU
1355,British Airways,BA,BAW
1359,Biman Bangladesh Airlines,BG,BBC
1401,Belair Airlines,4T,BHP
1403,Bahamasair,UP,BHS
1406,Balkan Bulgarian Airlines,LZ,
1411,British International Helicopters,BS,BIH
1420,BF-Lento OY,,BKF
1422,Bangkok Airways,PG,BKP
1427,Blue1,KF,BLF
1431,Baltic Airlines,,BLL
1434,Bearskin Lake Air Service,JV,BLS
1436,Bellview Airlines,B3,BLV
1437,bmi,BD,BMA
1441,bmibaby,WW,BMI
1442,Bemidji Airlines,CH,BMJ
1445,British Midland Regional,,BMR
1463,Blue Panorama Airlines,BV,BPA
1466,Budapest Aircraft Services/Manx2,,BPS
1472,Bering Air,8E,BRG
1476,Brazilian Air Force,,BRS
1478,Belavia Belarusian Airlines,B2,BRU
1500,Metro Batavia,7P,BTV
1508,Berjaya Air,J8,BVT
